,name,summary,property_type,room_type,bed_type,minimum_nights,maximum_nights,first_review,last_review,bedrooms,Country,Total_price,Review
0,Horto flat with small garden,"One bedroom + sofa-bed in quiet and bucolic neighbourhood right next to the Botanical Garden. Small garden, outside shower, well equipped kitchen and bathroom with shower and tub. Easy for transport with many restaurants and basic facilities in the area.",Apartment,Entire home/apt,Real Bed,2,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Brazil,504.0,0
1,Ribeira Charming Duplex,"Fantastic duplex apartment with three bedrooms, located in the historic area of Porto, Ribeira (Cube) - UNESCO World Heritage Site. Centenary building fully rehabilitated, without losing their original character.",House,Entire home/apt,Real Bed,2,30,2016-01-03 05:00:00.000000000,2019-01-20 05:00:00.000000000,3.0,Portugal,315.0,51
2,Charming Flat in Downtown Moda,"Fully furnished 3+1 flat decorated with vintage style.  Located at the heart of Moda/Kadıköy, close to seaside and also to the public transportation (tram, metro, ferry, bus stations) 10 minutes walk.",House,Entire home/apt,Real Bed,2,1125,2016-04-02 04:00:00.000000000,2016-04-02 04:00:00.000000000,2.0,Turkey,738.0,1
3,Ótimo Apto proximo Parque Olimpico,Apartamento próximo ao centro dos Jogos Olímpicos 2016 a 6 Km do Parque Olímpico e próximo a praia. Infraestrutura total de transporte além de shoppings e comércio. Área nobre do Rio de Janeiro.,Apartment,Entire home/apt,Real Bed,15,20,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,2.0,Brazil,5446.0,0
4,Double Room en-suite (307),"A standard double room with a queen size double bed and with private bathroom. There is a working table, chair and a shelf. A clean and comfortable room.",Apartment,Private room,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Hong Kong,361.0,0
5,New York City - Upper West Side Apt,,Apartment,Private room,Real Bed,12,360,2013-04-29 04:00:00.000000000,2018-08-12 04:00:00.000000000,1.0,United States,270.0,70
6,Catete's Colonial Big Hause Room B,"Old floor, intirely reformed, destined to receive people in a very harmonious and welcoming place. Located at Catete's neighborhood, with a very easy access to the metro station, a lot of bus lines, next to a excellent trade and things to do around.",House,Private room,Real Bed,2,1125,2016-02-10 05:00:00.000000000,2016-02-10 05:00:00.000000000,1.0,Brazil,250.0,1
7,Be Happy in Porto,"Be Happy Apartment is an amazing space. Renovated and comfortable apartment, located in a building dating from the nineteenth century in one of the most emblematic streets of the Porto city ""Rua do Almada"".  Be Happy Apartment is located in the city center, able you to visit the historic center only by foot, being very close of majority points of interesting of the Porto City. Be Happy Apartment is located close of central Station MetroTrindade.",Loft,Entire home/apt,Real Bed,2,1125,2016-01-02 05:00:00.000000000,2019-02-09 05:00:00.000000000,1.0,Portugal,40.0,178
8,Ocean View Waikiki Marina w/prkg,"A short distance from Honolulu's billion dollar mall, and the same distance to Waikiki. Parking included. A great location that work perfectly for business, education, or simple visit. Experience Yacht Harbor views and 5 Star Hilton Hawaiian Village.",Condominium,Entire home/apt,Real Bed,3,365,2013-05-24 04:00:00.000000000,2019-02-07 05:00:00.000000000,1.0,United States,215.0,96
9,Apt Linda Vista Lagoa - Rio,"Quarto com vista para a Lagoa Rodrigo de Freitas, cartão postal do Rio de Janeiro. Linda Vista.  1 Quarto e 1 banheiro  Amplo, arejado, vaga na garagem. Prédio com piscina, sauna e playground.  Fácil acesso, próximo da praia e shoppings.",Apartment,Private room,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Brazil,1951.0,0
